Date : 2021-06-10 00:24:05
Directory : c:\Users\chris\Documents\GitHub\twitter-clone
Total : 361 files,  44916 codes, 17491 comments, 8082 blanks, all 70489 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\deleteTweet.php                                                                | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\exploreFeed.php                                                                | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\fav.php                                                                        | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\fav_remove.php                                                                 | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\feed.php                                                                       | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\follow.php                                                                     | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\followers.php                                                                  | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\followings.php                                                                 | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\login.php                                                                      | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\logout.php                                                                     | PHP          |         11 |          0 |          0 |         11 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\notificationFeed.php                                                           | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\postTweet.php                                                                  | PHP          |          0 |          0 |          1 |          1 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\profile.php                                                                    | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\profileFeed.php                                                                | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\randomUsers.php                                                                | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\register.php                                                                   | PHP          |         15 |          0 |          4 |         19 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\rt.php                                                                         | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\rt_remove.php                                                                  | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\search.php                                                                     | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\settings.php                                                                   | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\settingsLoad.php                                                               | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\tweet.php                                                                      | PHP          |         11 |          0 |          2 |         13 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\tweetComments.php                                                              | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\tweetPage.php                                                                  | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\backend\unfollow.php                                                                   | PHP          |          7 |          0 |          1 |          8 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\README.md                                                            | Markdown     |          4 |          0 |          2 |          6 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\fav.md                                                          | Markdown     |          9 |          0 |          5 |         14 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\feed.md                                                         | Markdown     |         62 |          0 |          6 |         68 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\follow.md                                                       | Markdown     |          9 |          0 |          5 |         14 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\login.md                                                        | Markdown     |         25 |          0 |          9 |         34 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\notificationFeed.md                                             | Markdown     |         62 |          0 |          7 |         69 |
| c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\profile.md                                                      | Markdown     |         36 |          0 |          9 |         45 |
