"filename", "language", "PHP", "HTML", "CSS", "Markdown", "SQL", "SCSS", "JavaScript", "JSON", "XML", "YAML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\RedirectMiddleware.php", "PHP", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 34, 217
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\RequestOptions.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 32, 265
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\RetryMiddleware.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 117
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\TransferStats.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 17, 134
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Utils.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 42, 383
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\functions.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 12, 168
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\functions_include.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\vendor-bin\php-cs-fixer\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\vendor-bin\phpstan\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\vendor-bin\psalm\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\CHANGELOG.md", "Markdown", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 85
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\README.md", "Markdown", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 533
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\AggregateException.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\CancellationException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Coroutine.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 18, 170
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Create.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 85
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Each.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 5, 91
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\EachPromise.php", "PHP", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 35, 255
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\FulfilledPromise.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 85
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Is.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 47
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Promise.php", "PHP", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 32, 279
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\PromiseInterface.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 10, 98
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\PromisorInterface.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\RejectedPromise.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 92
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\RejectionException.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 49
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\TaskQueue.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 68
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\TaskQueueInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 25
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\Utils.php", "PHP", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 20, 275
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\functions.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 22, 364
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\promises\src\functions_include.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\.github\workflows\bc.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\.github\workflows\integration.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\.github\workflows\static.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 8, 30
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\CHANGELOG.md", "Markdown", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 295
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\README.md", "Markdown", 0, 0, 0, 503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307, 810
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\AppendStream.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 41, 247
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\BufferStream.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 27, 143
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\CachingStream.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 142
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\DroppingStream.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 46
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\FnStream.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 27, 164
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Header.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 72
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\InflateStream.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 57
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\LazyOpenStream.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 43
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\LimitStream.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 23, 158
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Message.php", "PHP", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 39, 253
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\MessageTrait.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 40, 215
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\MimeType.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 141
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\MultipartStream.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 25, 159
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\NoSeekStream.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 26
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\PumpStream.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 30, 171
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Query.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11, 114
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Request.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 153
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Response.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 156
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Rfc7230.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 20
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\ServerRequest.php", "PHP", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 54, 380
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Stream.php", "PHP", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 271
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\StreamDecoratorTrait.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 24, 153
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\StreamWrapper.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 166
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\UploadedFile.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 41, 329
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Uri.php", "PHP", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 112, 811
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\UriNormalizer.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 29, 220
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\UriResolver.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 25, 223
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\Utils.php", "PHP", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 45, 429
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\functions.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 25, 423
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\psr7\src\functions_include.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\paragonie\random_compat\build-phar.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\paragonie\random_compat\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
